Rank,Name,Symbol,Price,Circulating Supply
1,Bitcoin,BTC,34194.58,18938712
2,Ethereum,ETH,2270.78,119292815
3,Tether,USDT,1,78311766178
4,BNB,BNB,351.39,165116761
5,USD Coin,USDC,1,47861732704
6,Cardano,ADA,1.02,33550574442
7,XRP,XRP,0.58,47736918345
8,Solana,SOL,87.33,314690654
9,Terra,LUNA,65.8,402240379
10,Dogecoin,DOGE,0.13,132670764300
11,Polkadot,DOT,16.99,987579315
12,Avalanche,AVAX,58.02,244839860
13,Binance USD,BUSD,1,14031925099
14,TerraUSD,UST,1,11163985576
15,Shiba Inu,SHIB,0,549063278876302
16,Polygon,MATIC,1.4,7447892513
17,Cosmos,ATOM,34.19,286370297
18,Dai,DAI,1,9619013408
19,Wrapped Bitcoin,WBTC,34148.47,270557
20,Crypto.com Coin,CRO,0.34,25263013692
21,Litecoin,LTC,102.84,69484482
22,Chainlink,LINK,14.52,467009550
23,NEAR Protocol,NEAR,10.3,620237377
24,Uniswap,UNI,10.13,627321718
25,Algorand,ALGO,0.88,6530507353
26,TRON,TRX,0.05,101810254646
27,Bitcoin Cash,BCH,277.06,18964150
28,Fantom,FTM,2.05,2545006273
29,FTX Token,FTT,32.77,138472817
30,Stellar,XLM,0.18,24802247015
31,Internet Computer,ICP,20.31,199015444
32,Bitcoin BEP2,BTCB,34193.66,105096
33,Hedera,HBAR,0.2,18092792421
34,Decentraland,MANA,1.89,1824508435
35,UNUS SED LEO,LEO,3.53,953954130
36,VeChain,VET,0.05,64315576989
37,Ethereum Classic,ETC,22.96,132496594
38,Klaytn,KLAY,1.15,2604206557
39,Axie Infinity,AXS,47.14,60907500
40,Filecoin,FIL,17.8,152948837
41,Monero,XMR,141.56,18067982
42,The Sandbox,SAND,2.77,922239985
43,Elrond,EGLD,122.94,20631241
44,Theta Network,THETA,2.42,1000000000
45,Tezos,XTZ,2.74,875426144
46,BitTorrent,BTT,0,990000000000
47,Helium,HNT,20.94,109045856
48,Harmony,ONE,0.18,11596347164
49,EOS,EOS,2.08,978693517
50,IOTA,MIOTA,0.73,2779530283
51,Aave,AAVE,139.84,13486219
52,PancakeSwap,CAKE,7.07,261126390
53,The Graph,GRT,0.37,4715735200
54,Maker,MKR,1757.26,978069
55,Bitcoin SV,BSV,90.46,18960489
56,Stacks,STX,1.25,1294516463
57,Flow,FLOW,4.62,318082398
58,Kusama,KSM,168.48,8470098
59,TrueUSD,TUSD,1,1397074530
60,Huobi Token,HT,8.66,156741729
61,eCash,XEC,0,18960035923313
62,Gala,GALA,0.18,6977205436
63,Neo,NEO,17.06,70538831
64,OKB,OKB,20.15,60000000
65,Zcash,ZEC,87.83,13593694
66,Enjin Coin,ENJ,1.39,850965706
67,KuCoin Token,KCS,14.6,80118638
68,Curve DAO Token,CRV,2.57,453598465
69,Celo,CELO,3,387111233
70,Amp,AMP,0.03,42227702186
71,THORChain,RUNE,3.47,330688061
72,Quant,QNT,93.07,12072738
73,Oasis Network,ROSE,0.3,3493014306
74,Loopring,LRC,0.78,1329247433
75,Basic Attention Token,BAT,0.69,1494643334
76,Chiliz,CHZ,0.17,5955069766
77,Arweave,AR,29.2,33394701
78,Pax Dollar,USDP,1,945642940
79,Nexo,NEXO,1.66,560000011
80,Dash,DASH,85.13,10542786
81,Waves,WAVES,8.05,107309410
82,Kadena,KDA,5.04,167257413
83,NEM,XEM,0.09,8999999999
84,yearn.finance,YFI,22479.03,36638
85,Mina,MINA,2.19,358328018
86,Compound,COMP,118.1,6523534
87,Secret,SCRT,4.98,149815729
88,XDC Network,XDC,0.06,12305012699
89,Holo,HOT,0,173136634513
90,Decred,DCR,52.43,13705346
91,1inch Network,1INCH,1.49,468081103
92,Theta Fuel,TFUEL,0.12,5301214400
93,IoTeX,IOTX,0.07,9540779324
94,BORA,BORA,0.73,861250000
95,renBTC,RENBTC,34066.5,18154
96,Ravencoin,RVN,0.06,10473290000
97,OMG Network,OMG,3.86,140245398
98,Bancor,BNT,2.19,242393336
99,SushiSwap,SUSHI,4.14,127244443
100,Velas,VLX,0.23,2253745846
